"Station","prDM","Column1","scan","p","t090C","T0","t190C","T1","c0S/m","C0","c1S/m","C1","sbeox0V","oxy0","sbeox1V","oxy1","flECO-AFL","upoly0","depSM","sal00","sal11","sbeox0ML/L","sbeox1ML/L","flag","Year"
"ST_10_wed",22.7,36981.8636363636,2059.86363636364,22.7,8.07640909090909,8.07640909090909,NA,NA,3.26482981818182,3.26482981818182,NA,NA,0.574981818181818,0.574981818181818,0.619254545454545,0.619254545454545,2.29191324491922,0.218444554545455,22.488,31.1191454545455,NA,0.0913636363636362,0.364381818181818,0,2021
"ST_10_wed",22.8,36986.4545454545,2064.45454545455,22.8,8.08313636363636,8.08313636363636,NA,NA,3.26647790909091,3.26647790909091,NA,NA,0.572672727272727,0.572672727272727,0.617863636363636,0.617863636363636,2.29191324491922,0.216993454545455,22.587,31.1305363636364,NA,0.0871909090909091,0.362518181818182,0,2021
"ST_10_wed",22.9,36991.0476190476,2069.04761904762,22.9,8.08967142857143,8.08967142857143,NA,NA,3.26809061904762,3.26809061904762,NA,NA,0.57027619047619,0.57027619047619,0.616480952380952,0.616480952380952,2.29191324491922,0.214923804761905,22.686,31.1417142857143,NA,0.0825571428571428,0.360566666666667,0,2021
"ST_10_wed",23,36995.6818181818,2073.68181818182,23,8.09625454545455,8.09625454545455,NA,NA,3.2696915,3.2696915,NA,NA,0.567959090909091,0.567959090909091,0.615063636363636,0.615063636363636,2.29191324491922,0.211884077272727,22.785,31.1527681818182,NA,0.0781181818181819,0.358563636363636,0,2021
"ST_10_wed",23.1,37000.3333333333,2078.33333333333,23.1,8.10256666666667,8.10256666666667,NA,NA,3.27123866666667,3.27123866666667,NA,NA,0.565733333333333,0.565733333333333,0.6137,0.6137,2.29191324491922,0.207434,22.884,31.1634333333333,NA,0.0739666666666666,0.356533333333333,0,2021
"ST_10_wed",23.2,37005,2083,23.2,8.1086,8.1086,NA,NA,3.272708,3.272708,NA,NA,0.5636,0.5636,0.6125,0.6125,1.91256208713949,0.2014454,22.983,31.1735,NA,0.0698999999999998,0.3548,0,2021
"ST_10_wed",23.3,37009.6666666667,2087.66666666667,23.3,8.1144,8.1144,NA,NA,3.27409233333333,3.27409233333333,NA,NA,0.561466666666667,0.561466666666667,0.611266666666667,0.611266666666667,1.94417468362113,0.1964905,23.082,31.1829333333333,NA,0.0658333333333333,0.3529,0,2021
"ST_10_wed",23.4,37014.3181818182,2092.31818181818,23.4,8.11998181818182,8.11998181818182,NA,NA,3.27540945454545,3.27540945454545,NA,NA,0.559572727272727,0.559572727272727,0.610104545454545,0.610104545454545,1.94417468362113,0.192542004545454,23.181,31.1918045454545,NA,0.0625090909090909,0.351140909090909,0,2021
"ST_10_wed",23.5,37019,2097,23.5,8.1254,8.1254,NA,NA,3.276689,3.276689,NA,NA,0.5576,0.5576,0.609,0.609,1.94417468362113,0.1889611,23.28,31.2005,NA,0.0588,0.3494,0,2021
"ST_10_wed",23.6,37023.6818181818,2101.68181818182,23.6,8.13075,8.13075,NA,NA,3.27794236363636,3.27794236363636,NA,NA,0.555727272727273,0.555727272727273,0.607863636363636,0.607863636363636,1.94417468362113,0.185220668181818,23.379,31.2088954545455,NA,0.0551545454545454,0.347495454545454,0,2021
"ST_10_wed",23.7,37028.380952381,2106.38095238095,23.7,8.13611904761905,8.13611904761905,NA,NA,3.27919233333333,3.27919233333333,NA,NA,0.553847619047619,0.553847619047619,0.60682380952381,0.60682380952381,1.83879936201564,0.180757676190476,23.478,31.2172857142857,NA,0.051295238095238,0.345785714285714,0,2021
"ST_10_wed",23.8,37033.0476190476,2111.04761904762,23.8,8.14155238095238,8.14155238095238,NA,NA,3.28043880952381,3.28043880952381,NA,NA,0.552080952380952,0.552080952380952,0.605790476190476,0.605790476190476,1.73869280649045,0.176477457142857,23.577,31.2254904761905,NA,0.0476571428571428,0.343985714285714,0,2021
"ST_10_wed",23.9,37037.7619047619,2115.76190476191,23.9,8.14701428571429,8.14701428571429,NA,NA,3.28172128571429,3.28172128571429,NA,NA,0.550295238095238,0.550295238095238,0.604747619047619,0.604747619047619,1.73869280649045,0.173159076190476,23.6762380952381,31.2341476190476,NA,0.0439904761904761,0.342171428571429,0,2021
"ST_10_wed",24,37042.4761904762,2120.47619047619,24,8.15277142857143,8.15277142857143,NA,NA,3.28304076190476,3.28304076190476,NA,NA,0.548657142857143,0.548657142857143,0.603804761904762,0.603804761904762,1.73869280649045,0.170387276190476,23.7755238095238,31.2429047619048,NA,0.0409619047619047,0.340557142857143,0,2021
"ST_10_wed",24.1,37047.1428571429,2125.14285714286,24.1,8.15868571428572,8.15868571428572,NA,NA,3.284381,3.284381,NA,NA,0.546957142857143,0.546957142857143,0.602871428571429,0.602871428571429,1.73869280649045,0.167729085714286,23.8748571428571,31.2516857142857,NA,0.0376285714285714,0.338942857142857,0,2021
"ST_10_wed",24.2,37051.8571428571,2129.85714285714,24.2,8.16491428571429,8.16491428571429,NA,NA,3.28580085714286,3.28580085714286,NA,NA,0.545342857142857,0.545342857142857,0.602028571428571,0.602028571428571,1.73869280649045,0.164694928571428,23.974,31.2611,NA,0.0345714285714285,0.337457142857143,0,2021
"ST_10_wed",24.3,37056.5238095238,2134.52380952381,24.3,8.17158571428571,8.17158571428571,NA,NA,3.28730442857143,3.28730442857143,NA,NA,0.543842857142857,0.543842857142857,0.601095238095238,0.601095238095238,1.64385501704551,0.161262819047619,24.073,31.2709523809524,NA,0.0316857142857143,0.335690476190476,0,2021
"ST_10_wed",24.4,37061.2272727273,2139.22727272727,24.4,8.17876363636364,8.17876363636364,NA,NA,3.28891822727273,3.28891822727273,NA,NA,0.542331818181818,0.542331818181818,0.600254545454545,0.600254545454545,1.64385501704551,0.158462036363636,24.172,31.2815227272727,NA,0.0287863636363636,0.334209090909091,0,2021
"ST_10_wed",24.5,37065.9090909091,2143.90909090909,24.5,8.18635454545455,8.18635454545455,NA,NA,3.29060654545455,3.29060654545455,NA,NA,0.540927272727273,0.540927272727273,0.599418181818182,0.599418181818182,1.64385501704551,0.156123818181818,24.271,31.2924818181818,NA,0.0263454545454545,0.332636363636364,0,2021
"ST_10_wed",24.6,37070.619047619,2148.61904761905,24.6,8.19425238095238,8.19425238095238,NA,NA,3.29238371428571,3.29238371428571,NA,NA,0.539514285714286,0.539514285714286,0.59867619047619,0.59867619047619,1.64385501704551,0.153824985714286,24.37,31.3041476190476,NA,0.0238904761904762,0.331190476190476,0,2021
"ST_10_wed",24.7,37075.3181818182,2153.31818181818,24.7,8.20220909090909,8.20220909090909,NA,NA,3.29421109090909,3.29421109090909,NA,NA,0.538204545454545,0.538204545454545,0.597836363636364,0.597836363636364,1.64385501704551,0.151224940909091,24.469,31.3162590909091,NA,0.0214772727272727,0.329472727272727,0,2021
"ST_10_wed",24.8,37080,2158,24.8,8.2099,8.2099,NA,NA,3.296032,3.296032,NA,NA,0.5368,0.5368,0.5971,0.5971,1.59643612232305,0.1479937,24.568,31.3285,NA,0.0186,0.328,0,2021
"ST_10_wed",24.9,37084.6363636364,2162.63636363636,24.9,8.21748181818182,8.21748181818182,NA,NA,3.29780318181818,3.29780318181818,NA,NA,0.535609090909091,0.535609090909091,0.596436363636364,0.596436363636364,1.59643612232305,0.145033381818182,24.667,31.3403909090909,NA,0.0163181818181818,0.326636363636364,0,2021
"ST_10_wed",25,37089.2380952381,2167.2380952381,25,8.22478095238095,8.22478095238095,NA,NA,3.29953704761905,3.29953704761905,NA,NA,0.534452380952381,0.534452380952381,0.59567619047619,0.59567619047619,1.59643612232305,0.142750595238095,24.766,31.3520952380952,NA,0.0140285714285714,0.324952380952381,0,2021
"ST_10_wed",25.1,37093.8636363636,2171.86363636364,25.1,8.23218181818182,8.23218181818182,NA,NA,3.30125940909091,3.30125940909091,NA,NA,0.533240909090909,0.533240909090909,0.595013636363636,0.595013636363636,1.59643612232305,0.140771140909091,24.865,31.3635590909091,NA,0.0115818181818182,0.323627272727273,0,2021
"ST_10_wed",25.2,37098.4761904762,2176.47619047619,25.2,8.2394619047619,8.2394619047619,NA,NA,3.30296323809524,3.30296323809524,NA,NA,0.532104761904762,0.532104761904762,0.594304761904762,0.594304761904762,1.59643612232305,0.138814252380952,24.964,31.3749428571429,NA,0.00910952380952375,0.322161904761905,0,2021
"ST_10_wed",25.3,37103.0454545455,2181.04545454545,25.3,8.24677727272727,8.24677727272727,NA,NA,3.30466322727273,3.30466322727273,NA,NA,0.530990909090909,0.530990909090909,0.593595454545455,0.593595454545455,1.59643612232305,0.136607768181818,25.063,31.3863090909091,NA,0.00688181818181816,0.320590909090909,0,2021
"ST_10_wed",25.4,37107.6363636364,2185.63636363636,25.4,8.25441818181818,8.25441818181818,NA,NA,3.30643472727273,3.30643472727273,NA,NA,0.529909090909091,0.529909090909091,0.592972727272727,0.592972727272727,1.59643612232305,0.134103809090909,25.1623636363636,31.3980181818182,NA,0.0045545454545454,0.319281818181818,0,2021
"ST_10_wed",25.5,37112.1363636364,2190.13636363636,25.5,8.26223181818182,8.26223181818182,NA,NA,3.30825045454545,3.30825045454545,NA,NA,0.528872727272727,0.528872727272727,0.592386363636364,0.592386363636364,1.59643612232305,0.132191631818182,25.261,31.4100954545455,NA,0.0026590909090909,0.318072727272727,0,2021
"ST_10_wed",25.6,37116.6818181818,2194.68181818182,25.6,8.27042727272727,8.27042727272727,NA,NA,3.31016986363636,3.31016986363636,NA,NA,0.527863636363636,0.527863636363636,0.591831818181818,0.591831818181818,1.59643612232305,0.130703395454545,25.3603181818182,31.4229772727273,NA,0.00082727272727269,0.316863636363636,0,2021
"ST_10_wed",25.7,37121.2272727273,2199.22727272727,25.7,8.27903181818182,8.27903181818182,NA,NA,3.3121755,3.3121755,NA,NA,0.526854545454545,0.526854545454545,0.591177272727273,0.591177272727273,1.59643612232305,0.129438331818182,25.4597727272727,31.4363045454545,NA,-0.00119090909090914,0.315354545454545,0,2021
"ST_10_wed",25.8,37125.7272727273,2203.72727272727,25.8,8.28795454545455,8.28795454545455,NA,NA,3.31424236363636,3.31424236363636,NA,NA,0.525954545454545,0.525954545454545,0.590627272727273,0.590627272727273,1.59643612232305,0.128213327272727,25.559,31.4500545454545,NA,-0.00299090909090909,0.314154545454545,0,2021
"ST_10_wed",25.9,37130.2272727273,2208.22727272727,25.9,8.29727727272727,8.29727727272727,NA,NA,3.31639590909091,3.31639590909091,NA,NA,0.525054545454545,0.525054545454545,0.590054545454545,0.590054545454545,1.59643612232305,0.12685215,25.658,31.4643272727273,NA,-0.00489090909090912,0.312786363636364,0,2021
"ST_10_wed",26,37134.6956521739,2212.69565217391,26,8.30693043478261,8.30693043478261,NA,NA,3.31859943478261,3.31859943478261,NA,NA,0.524260869565217,0.524260869565217,0.589460869565217,0.589460869565217,1.59643612232305,0.125525413043478,25.757,31.4787956521739,NA,-0.00637826086956519,0.311452173913044,0,2021
"ST_10_wed",26.1,37139.1363636364,2217.13636363636,26.1,8.31681363636364,8.31681363636364,NA,NA,3.32083968181818,3.32083968181818,NA,NA,0.523372727272727,0.523372727272727,0.588886363636364,0.588886363636364,1.59643612232305,0.124448659090909,25.856,31.49345,NA,-0.00815454545454546,0.310072727272727,0,2021
"ST_10_wed",26.2,37143.5909090909,2221.59090909091,26.2,8.32695909090909,8.32695909090909,NA,NA,3.32313468181818,3.32313468181818,NA,NA,0.522481818181818,0.522481818181818,0.588381818181818,0.588381818181818,1.59643612232305,0.123454804545455,25.955,31.50845,NA,-0.0100363636363637,0.308904545454545,0,2021
"ST_10_wed",26.3,37148,2226,26.3,8.3371,8.3371,NA,NA,3.325433,3.325433,NA,NA,0.5216,0.5216,0.5879,0.5879,1.59643612232305,0.1224536,26.054,31.5235,NA,-0.0122,0.3078,0,2021
"ST_10_wed",26.4,37152.4090909091,2230.40909090909,26.4,8.34738181818182,8.34738181818182,NA,NA,3.32777027272727,3.32777027272727,NA,NA,0.520859090909091,0.520859090909091,0.587359090909091,0.587359090909091,1.59643612232305,0.121290659090909,26.153,31.5387909090909,NA,-0.0138818181818182,0.306577272727273,0,2021
"ST_10_wed",26.5,37156.8260869565,2234.82608695652,26.5,8.35788260869565,8.35788260869565,NA,NA,3.33016286956522,3.33016286956522,NA,NA,0.520134782608696,0.520134782608696,0.586917391304348,0.586917391304348,1.59643612232305,0.119844004347826,26.252,31.5544739130435,NA,-0.0155130434782608,0.305452173913044,0,2021
"ST_10_wed",26.6,37161.1818181818,2239.18181818182,26.6,8.36835454545455,8.36835454545455,NA,NA,3.33256945454545,3.33256945454545,NA,NA,0.519463636363636,0.519463636363636,0.586381818181818,0.586381818181818,1.59643612232305,0.118585581818182,26.351,31.5703545454545,NA,-0.0167727272727273,0.304163636363636,0,2021
"ST_10_wed",26.7,37165.5652173913,2243.5652173913,26.7,8.37911304347826,8.37911304347826,NA,NA,3.33502834782609,3.33502834782609,NA,NA,0.518686956521739,0.518686956521739,0.58594347826087,0.58594347826087,1.59643612232305,0.117646373913043,26.45,31.5864347826087,NA,-0.0182826086956522,0.303186956521739,0,2021
"ST_10_wed",26.8,37169.9130434783,2247.91304347826,26.8,8.38988260869565,8.38988260869565,NA,NA,3.337507,3.337507,NA,NA,0.517917391304348,0.517917391304348,0.585408695652174,0.585408695652174,1.59643612232305,0.116902052173913,26.549,31.6027695652174,NA,-0.0198565217391305,0.301917391304348,0,2021
"ST_10_wed",26.9,37174.3043478261,2252.30434782609,26.9,8.40076086956522,8.40076086956522,NA,NA,3.34005182608696,3.34005182608696,NA,NA,0.517239130434783,0.517239130434783,0.584969565217391,0.584969565217391,1.59643612232305,0.1162406,26.648,31.6196565217391,NA,-0.0212217391304348,0.300908695652174,0,2021
"ST_10_wed",27,37178.652173913,2256.65217391304,27,8.4114652173913,8.4114652173913,NA,NA,3.34256569565217,3.34256569565217,NA,NA,0.516534782608696,0.516534782608696,0.584469565217391,0.584469565217391,1.59643612232305,0.115586395652174,26.747,31.6363782608696,NA,-0.0228304347826087,0.299739130434783,0,2021
"ST_10_wed",27.1,37183.0454545455,2261.04545454545,27.1,8.42190454545455,8.42190454545455,NA,NA,3.34504109090909,3.34504109090909,NA,NA,0.515890909090909,0.515890909090909,0.583995454545455,0.583995454545455,1.5648235258414,0.114869063636364,26.846,31.6529681818182,NA,-0.0243272727272728,0.298786363636364,0,2021
"ST_10_wed",27.2,37187.4782608696,2265.47826086957,27.2,8.43205217391304,8.43205217391304,NA,NA,3.34745086956522,3.34745086956522,NA,NA,0.515252173913043,0.515252173913043,0.583652173913043,0.583652173913043,1.5648235258414,0.114281926086957,26.9455217391304,31.6690695652174,NA,-0.0258956521739131,0.298004347826087,0,2021
